Address,Response_X,Response_Y
廣原村錦屏80號,121.175957,23.128489
海端鄉霧鹿村1-1號,121.04194,23.173148
海端鄉霧鹿村下馬48號?,121.063768,23.156206
鹿野鄉永安村鹿寮路82巷22號,121.129925,22.935341
鹿野鄉永安村鹿寮路33巷18號?,121.128859,22.934669
永安村鹿寮路51巷5號,121.128962,22.935057
鹿野鄉永安村鹿寮路51巷7號?,121.12912,22.935165
鹿野鄉永安路388號,121.127369,22.931995
鹿野鄉永安村永樂路306巷7號?,121.12114,22.936897
鹿野鄉永安村永樂路119號,121.117722,22.927848
鹿野鄉永安村高台路10巷5號?,121.123214,22.923691
鹿野鄉永安村高台路10巷5號?,121.123214,22.923691
鹿野鄉高台路136號,121.129711,22.926663
永安村9鄰高台路42巷89弄10?,121.122972,22.917109
鹿野鄉永安村9鄰高台路42巷89弄5號,121.122934,22.919946
鹿野鄉永安村9鄰高台路42巷89弄5號,121.122934,22.919946
鹿野鄉中華路一段260號,121.118095,22.894967
鹿野鄉和平路15巷1號,121.13567,22.893521
鹿野鄉瑞隆村新源路49巷36弄12號?,121.150423,22.952805
鹿野鄉瑞隆村坪頂路21巷16號,121.161103,22.954495
鹿野鄉瑞源村新源路85巷68號,121.144234,22.961959
龍田村南2路592號,121.103881,22.903448
鹿野鄉龍田村光榮路590號,121.11339,22.904249
鹿野鄉龍田村南三路168號,121.124754,22.900963
鹿野鄉龍田村南三路168號,121.124754,22.900963
鹿野鄉龍田村光榮路369號,121.116995,22.903928
綠島鄉公館村白沙灣大白沙32號,121.471866,22.674071
綠島鄉中寮村52-1號?,121.472725,22.673095
綠島鄉中寮村中寮180-1號?,121.473682,22.673615
綠島鄉中寮村188號,121.474396,22.673925
綠島鄉中寮村中寮99-2號?,121.470546,22.674931
綠島鄉中寮村115-1號,121.470052,22.675166
綠島鄉中寮村6之6號,121.471296,22.672405
綠島鄉中寮村6之6號,121.471296,22.672405
綠島鄉公館村溫泉43號?,121.498144,22.646433
綠島鄉公館村溫泉41號,121.498144,22.646433
綠島鄉公館村柴口28號,121.478286,22.674242
綠島鄉公館村柴口33-2號?,121.479418,22.674619
綠島鄉公館村柴口79號,121.485978,22.677023
綠島鄉公館村柴口95號?,121.486639,22.676801
綠島鄉公館村公館6-1號,121.490328,22.675794
綠島鄉南寮村105號,121.469956,22.666243
綠島鄉南寮村200號?,121.468027,22.669585
綠島鄉南寮村南寮路210號?,121.468267,22.669969
綠島鄉南寮村239-1號,121.468368,22.672813
綠島鄉南寮255-1號,121.468783,22.672684
綠島鄉南寮村南寮17-1號?,121.471492,22.665279
綠島鄉南寮村漁港路17號?,121.471559,22.665215
綠島鄉南寮村1鄰南寮19號,121.471301,22.664981
綠島鄉公?2-16號,121.472224,22.664607
綠島鄉南寮村漁港1之21號,121.475253,22.656433
綠島鄉南寮村漁港1-80號?,121.474936,22.654083
綠島鄉南寮村漁港路26號,121.472633,22.663409
綠島鄉漁港2-11號,121.475136,22.656782
綠島鄉南寮村漁港路2-6號,121.475365,22.657571
綠島鄉南寮村1鄰漁港5-2號?,121.475559,22.660135
綠島鄉南寮村南寮路24號,121.471559,22.665538
南寮村102之12號,121.471082,22.665381
綠島鄉南寮村九鄰110之1號,121.470382,22.666055
臺東市 成功路128號,121.154387,22.753708
